Date,Summary,Label,Confidence,URL,Logits
2024-01-08 19:00:31+00:00,"The first week of 2024 marked a notable milestone in crypto asset investments. Investment products in this particular sector witnessed inflows amounting to $151 million, according to a recent report from CoinShares. Crypto Asset Funds Sees Surge In Inflows This $151 million surge in inflow, as...",positive,0.9273040890693665,https://cryptopanic.com/news/19159264/A-Bullish-Beginning-151-Million-Poured-Into-Crypto-Funds-In-2024s-First-Week,"[1.7141094207763672, -1.4317775964736938, -1.6278892755508423]"
2024-01-08 18:35:00+00:00,"According to the famous cryptocurrency analyst Michaël van de Poppe, altcoin rallies happen during Bitcoin consolidation before breaking into new highs. Van de Poppe made the statement in a recently uploaded video, where he analyzed the potential impact of a Bitcoin ETF on the altcoin market....",neutral,0.833225429058075,https://cryptopanic.com/news/19159227/Bitcoin-and-Ethereum-ETFs-To-Push-the-Markets-Higher-Analyst,"[-0.8852971792221069, -0.39834463596343994, 1.6893398761749268]"
2024-01-08 16:29:38+00:00,"SEC Chairman Warns of Crypto Risks Ahead of Bitcoin ETF Decision, Highlights Legal, Volatility, and Scam Concerns.",negative,0.7646384239196777,https://cryptopanic.com/news/19158861/Gensler-Addresses-Crypto-Investors-Crypto-World-Buzzes-With-Excitement,"[-1.4675700664520264, 1.9435328245162964, 0.6518315076828003]"
2024-01-08 15:49:04+00:00,"On the eve of the expected approval of Bitcoin Spot ETFs by the US Securities and Exchange Commission (SEC), Chairman Gary Gensler issued a stark warning about the risks of investing in cryptocurrencies. In his detailed statement, Gensler underlined many important points that potential investors...",neutral,0.7123998403549194,https://cryptopanic.com/news/19158737/BREAKING-SEC-Chairman-Gary-Gensler-Makes-Cryptocurrency-Statement-Ahead-of-Expected-Bitcoin-Spot-ETF-Approval,"[-0.09159036725759506, -0.9269682168960571, 1.1757434606552124]"
2024-01-08 12:23:01+00:00,"Spot Bitcoin ETFs Close to Approval: Key Firms File Final Forms, Reveal Competitive Fees, Awaiting SEC Decision.",neutral,0.8790085315704346,https://cryptopanic.com/news/19157965/Low-Fee-Competition-Sparks-Up-Among-Blackrock-and-Others-Ahead-of-ETF-Approval,"[-0.43625301122665405, -1.379631519317627, 1.8756288290023804]"
2024-01-08 02:50:00+00:00,James Seyffart asserts Bitcoin Spot ETF has a 95% chance it will be approved on January 10.,positive,0.760715663433075,https://cryptopanic.com/news/19156867/Bitcoin-ETF-Approval-Odds-Now-95-Bloomberg-Analyst-Claims,"[1.4781761169433594, -2.6825332641601562, 0.2707142233848572]"
2024-01-08 01:22:35+00:00,Social media users have pointed out that the regulator’s “no go to FOMO” warning comes amid heightened anticipation over spot Bitcoin ETF approvals.,negative,0.9171211123466492,https://cryptopanic.com/news/19156805/SEC-reissues-crypto-FOMO-warning-amid-hope-for-spot-Bitcoin-ETFs,"[-0.8119413256645203, 2.123593807220459, -1.1660743951797485]"
2024-01-07 22:14:28+00:00,The United States Securities and Exchange Commission (SEC) is on the verge of making a pivotal decision regarding approving Bitcoin ETF. This potential regulatory shift generates significant interest and optimism within the cryptocurrency and investment communities. Bloomberg’s leading Bitcoin...,positive,0.7543229460716248,https://cryptopanic.com/news/19156612/Bitcoin-ETF-sees-5-SEC-rejection-probability-optimism-grows,"[1.6994882822036743, -2.865455150604248, 0.5451996326446533]"
2024-01-07 10:32:46+00:00,"Bitcoin ETFs Near Approval, But Better Markets Warns SEC of Risks and Urges Rejection Due to Fraud Concerns.",negative,0.9197110533714294,https://cryptopanic.com/news/19155876/Better-Markets-Warns-US-SEC-to-Reject-Bitcoin-ETF,"[-0.7529292702674866, 2.1249072551727295, -1.3475165367126465]"
2024-01-07 09:18:42+00:00,"Big Week for Bitcoin: SEC Decision on ETFs Looms, Boosting Prices and Investor Confidence!",positive,0.9241971969604492,https://cryptopanic.com/news/19155802/Big-Week-For-Bitcoin-as-Investors-Bet-on-a-Jan-10-ETF-Approval,"[1.7659648656845093, -1.9452863931655884, -1.0887326002120972]"
