Date,Summary,Label,Confidence,URL,Logits
2024-01-04 00:30:51+00:00,"The U.S. Securities and Exchange Commission (SEC) has been a long-standing roadblock to the approval of spot Bitcoin ETFs. However, recent data suggests a shift, especially among Wall Street players, is underway. Taking to X on January 3, Marty Party observed that a growing number of funds that...",positive,0.9042963981628418,https://cryptopanic.com/news/19149080/Hard-SEC-Data-Shows-Funds-Plan-To-Invest-Up-To-15-Of-Their-AUM-To-Bitcoin,"[1.8019295930862427, -2.1866562366485596, -0.6364029049873352]"
2024-01-03 23:22:27+00:00,The United States-based Cboe BZX Exchange has accepted the registration for listing shares of a spot Bitcoin exchange-traded fund (ETF) proposed by Fidelity Investments. This step marks a crucial point in the journey of the Fidelity Wise Origin Bitcoin Fund towards potential SEC approval....,positive,0.7310121059417725,https://cryptopanic.com/news/19149010/Cboe-Exchange-registers-Fidelitys-Bitcoin-ETF-awaits-SEC-approval,"[1.5909782648086548, -2.8165242671966553, 0.5575379133224487]"
2024-01-03 21:18:05+00:00,"According to the statement of cryptocurrency journalist Eleanor Terrett, the new date to wait for Bitcoin Spot ETFs has been announced. Continue Reading: New Date to Focus on for Bitcoin Spot ETF Approval Announced: Source Close to the Process Reveals",neutral,0.9404428005218506,https://cryptopanic.com/news/19148843/New-Date-to-Focus-on-for-Bitcoin-Spot-ETF-Approval-Announced-Source-Close-to-the-Process-Reveals,"[-0.5680509805679321, -1.6775082349777222, 2.476344108581543]"
2024-01-03 20:08:14+00:00,"Eric Balchunas, a senior ETF analyst for Bloomberg, has stated that at least 3, out of the 5 SEC commissioners, are in favor of approving the bitcoin spot ETFs.",neutral,0.8103376626968384,https://cryptopanic.com/news/19148732/At-Least-3-SEC-Commissioners-Are-For-ETF-Approval-Says-Bloomberg-Analyst,"[0.11920912563800812, -1.901987075805664, 1.6958396434783936]"
2024-01-03 16:29:42+00:00,"The Securities and Exchanges Commission (SEC) is holding meetings today with the exchanges, Nasdaq, CBOE and NYSE to finalize comments on the 19b-4s submitted by the BTC Spot ETF issuers.",neutral,0.9426363706588745,https://cryptopanic.com/news/19148250/SEC-Meeting-ETF-Issuers-Approval-Potentially-Imminent,"[-0.7212191224098206, -1.4394943714141846, 2.475210428237915]"
2024-01-03 14:56:56+00:00,"Matrixport report predicts SEC Bitcoin ETF rejections, causing a drop in Bitcoin price and showing the market's sensitivity to news.",negative,0.9669195413589478,https://cryptopanic.com/news/19147984/US-SEC-Will-Reject-Bitcoin-ETF-Matrixport-Predicts,"[-1.4379462003707886, 2.788105010986328, -1.1440025568008423]"
2024-01-03 12:20:14+00:00,Analyst Markus Thielen argued the applications still fall short of a critical requirement that must be met before the SEC can approve them.,negative,0.8023508191108704,https://cryptopanic.com/news/19147521/SEC-will-reject-all-bitcoin-spot-ETFs-in-January-says-Matrixport-analyst,"[-1.53780996799469, 1.8059533834457397, 0.25021669268608093]"
2024-01-03 12:17:07+00:00,"In its latest report, Matrixport claimed that the SEC will reject all Bitcoin spot ETFs in January and BTC could fall to $38,000. Continue Reading: Matrixport Knew the Drop in Bitcoin! Here is that report",negative,0.9189942479133606,https://cryptopanic.com/news/19147527/Matrixport-Knew-the-Drop-in-Bitcoin-Here-is-that-report,"[-1.8696882724761963, 2.5048816204071045, -0.07804463803768158]"
2024-01-03 12:12:05+00:00,"Bitcoin (BTC) fell sharply to $42,242. What is the source of the decline? Will the SEC approve Bitcoin ETFs? Continue Reading: There was a sudden drop in Bitcoin (BTC) price! What is the reason for the decline?",negative,0.9518135786056519,https://cryptopanic.com/news/19147528/There-was-a-sudden-drop-in-Bitcoin-BTC-price-What-is-the-reason-for-the-decline,"[-1.6915671825408936, 2.613893508911133, -0.6794007420539856]"
2024-01-03 07:28:22+00:00,"CBOE predicts spot Bitcoin ETF approval to attract major institutional investors, with key SEC decision due Jan. 10.",positive,0.9272576570510864,https://cryptopanic.com/news/19146883/Spot-Bitcoin-ETFs-Will-Boost-Institutional-Investment-CBOE-Predicts,"[1.8286232948303223, -2.2932076454162598, -0.9482304453849792]"
2024-01-03 02:41:04+00:00,"Bitcoin ETF coming, big Solana news, and much more! Manta https://newparadigm.manta.network?inviteCode=ZWPKU Magic Square https://magic.store/api/v1/magicid/user/referral/verify/6VQuqDZaFnLWHZwN9gtuEU🔥 GET MY FREE NEWSLETTER 👉 https://cryptolark.co/WEALTHMASTERY💸 BYBIT $30,030 BONUS & FEE...",neutral,0.9186830520629883,https://cryptopanic.com/news/19146387/Bitcoin-ETF-Approval-By-Friday-Get-Ready,"[-0.40125805139541626, -1.6022998094558716, 2.2863707542419434]"
2024-01-02 19:05:09+00:00,"Widely followed on-chain analyst PlanB says he’s confident that Bitcoin (BTC) will breach the six-figure mark this year. On the social media platform X, the pseudonymous analyst reveals to his 1.9 million followers a set of forecasts for 2024, which he says haven’t changed since late 2022 during...",neutral,0.8440640568733215,https://cryptopanic.com/news/19146087/PlanB-Says-We-Will-Hit-100k-in-2024-As-Bitcoin-BTC-Starts-Year-Off-With-Fresh-Rallies,"[-0.1137988418340683, -1.5575940608978271, 1.7868887186050415]"
